x,y,z
-2.367445,-0.271353,-10.273311
-9.330831,-1.470563,8.847961
-5.078654,-3.854364,-1.581809
-9.622812,-0.511079,6.234426
-1.983456,-0.466661,-0.864768
-4.692759,-4.049902,-0.954953
-5.593162,-3.513462,-2.998400
-4.360074,-3.966754,-3.015917
-4.316952,-1.535409,-8.561722
-10.450410,-2.038548,7.851340
-5.982716,-4.750724,-4.344760
-6.730795,-4.912017,-2.117125
-2.268919,-0.938158,-10.312769
-1.095999,0.585346,-9.685428
-1.518434,-0.513512,-10.803505
-6.472963,-4.619707,-3.231545
-4.276681,-3.186079,-4.564951
-2.160896,-1.670861,-6.806097
-7.616046,-0.795953,8.772541
-8.004454,-0.043324,4.265946
-5.071624,-4.362930,-3.124647
-3.072617,-1.040641,-9.163574
-5.731213,-3.108897,6.098115
-6.232817,-4.184077,-4.860121
-3.675288,-1.405834,-7.562656
-1.389536,0.988006,-6.784488
-3.168591,-3.466508,-9.047757
-4.024054,-0.404059,-9.366888
-4.358264,-1.118545,-3.870959
-0.467212,0.783007,-9.123396
-5.841779,-5.543883,-1.977548
-8.730114,1.138219,4.773553
-10.977467,0.128303,7.087383
-1.773335,-3.372311,-7.619013
-3.674218,-1.882184,-12.306044
1.273820,-0.614258,-9.182794
0.840453,-1.009336,-6.995997
-2.883045,-0.998609,7.324130
-7.285560,0.499859,6.613517
-1.505082,-0.001624,-7.898685
-6.971745,2.520674,8.468922
-3.248750,1.156737,-9.238111
-6.259556,3.590641,7.174273
-5.901208,-4.251904,-4.449396
-5.600690,-2.927114,-2.919814
-7.768185,-0.929669,8.023045
-9.179621,4.604189,3.196971
-3.868094,-5.061663,-4.016249
-3.515969,-4.769297,-2.834723
-5.811943,-2.420957,-6.808749
-7.812751,-1.513191,9.317094
-8.200428,-4.770970,-2.643711
-7.603630,-2.705425,4.975033
-1.638832,-6.985066,-2.664985
-4.529711,-4.614063,-1.065320
-4.413877,4.072420,-10.151090
-2.735744,-5.292924,-2.718642
-4.169647,-2.064677,-3.388584
-9.440221,2.031600,4.224780
-7.072174,-4.851438,-3.329088
-3.905874,-2.238028,-8.733215
-7.722575,1.081923,8.658569
-3.275714,-1.125012,-12.100225
-7.008292,-1.083161,6.498219
-3.990030,-3.649295,-4.963374
-11.372854,3.650096,5.935576
-1.605461,-2.841496,-8.048278
-7.723990,-1.323494,4.883203
-1.387893,-2.226472,-8.913578
-7.934184,-1.975625,3.201035
-6.501344,1.962866,5.816164
-4.143531,-3.161891,-4.316211
-8.296884,0.055533,6.205816
-2.772747,0.639740,-8.392024
-5.250582,-3.439936,-2.025675
-1.134655,0.306115,-7.921021
-6.000513,-7.377700,-5.215746
-10.751269,1.268694,5.594285
-7.767412,-0.223668,7.806597
-3.499391,-0.696156,-6.449505
-9.359135,0.919547,8.218140
-7.488813,0.059639,8.967200
-3.943006,0.678505,-8.884764
-8.312451,-0.714658,-2.197384
-5.671032,-5.664928,-0.964633
-10.599454,-1.798155,7.914263
-4.648951,-5.735798,-3.983309
-3.165917,-1.556728,-8.081621
-7.068214,-4.457370,-4.014675
-3.877779,-1.642522,-6.940426
-9.778451,1.653500,5.791026
-7.626175,1.256386,4.902193
-2.577243,-4.046857,-3.127042
-4.126762,1.107039,-7.740890
-2.043797,-0.948664,-7.746868
-1.670599,0.888640,-10.086337
-0.887320,-2.591336,-11.814002
-6.500558,2.996244,5.765015
-3.513426,-2.981007,-8.000905
-7.014502,2.045136,7.035600
-5.548742,2.748039,6.290491
-5.518179,-4.512976,-4.277352
-1.495527,-1.529953,-1.540637
-11.179606,-1.041556,7.943438
0.032952,2.792689,-9.353602
-4.208092,-1.349448,-9.159634
-4.094273,-5.370915,-2.942370
-8.451612,0.505976,5.815780
-8.599444,-3.310068,6.323320
-5.691633,-6.416963,-0.793772
-3.518524,-5.807463,-4.043281
-4.440091,-1.756765,-9.925736
-2.318978,-0.660053,-10.544832
-3.147209,-0.694772,4.658137
-5.703344,0.301911,7.661886
-4.436697,-1.610568,-10.296348
-4.542178,-6.433212,-2.152449
-5.147012,-4.743606,-2.861932
-3.416991,-1.054761,-9.203450
-4.956774,0.232715,-8.057773
-3.246174,-3.911881,-0.323611
-5.718422,-3.898848,-2.013066
-8.926228,-0.923794,4.015463
-4.965740,-3.757152,-3.949119
-4.154413,-6.005679,-4.625208
-8.090205,1.227205,7.461699
-6.319743,0.325138,4.358220
-3.943522,0.016794,-9.193746
-8.948873,-2.054017,8.099517
-6.458876,1.444951,7.445168
-6.790008,-0.025233,6.818034
-0.814571,0.170826,-11.057356
-7.373879,-4.475257,-6.248840
-8.416065,0.110736,5.467529
-3.427651,-1.047978,-9.286800
-2.381807,0.378485,-11.358810
-6.875676,-5.008130,-3.851623
-3.729868,-1.961256,-5.029588
-7.576791,1.636118,8.005865
-7.018585,-4.211232,-2.653050
-7.114901,0.697561,9.403688
-7.186506,0.892171,7.348400
-5.043517,-2.874857,-1.805767
-7.130976,-4.516984,-2.350394
-5.191859,-1.067050,-4.001116
-2.872057,-2.830931,-2.412988
-1.956783,-0.267246,-7.604362
-4.361765,1.089046,-8.078272
-9.217661,0.341040,5.261493
-10.574212,-1.559812,7.543359
-3.723596,-4.560974,-2.216096
-7.134747,-0.173809,9.036551
-9.563744,-3.405003,7.244451
-0.053825,-1.706290,-9.474159
-8.764278,0.865589,7.840543
-2.424596,0.782415,-7.411109
-4.389948,0.175373,-9.287007
-0.014313,-3.017507,-6.388300
-5.088976,-0.601513,-3.975078
-3.835717,-1.995361,-11.215990
-4.410596,-3.111352,-3.377513
-4.147853,-3.615349,-2.769000
-9.021944,-1.008640,7.383663
0.072730,0.813576,-9.269205
-6.457105,-7.923380,-1.289925
-5.763946,-2.210622,-2.271165
-8.318746,1.994491,5.623219
-4.049063,0.502943,-10.494697
-2.494624,-1.857273,-10.016459
-7.036110,-4.116012,-3.868702
-4.354506,-4.247803,-2.072509
0.411112,0.285136,-11.210495
-0.855400,-4.925695,-7.646449
-4.874565,-3.794487,-10.669980
-1.897065,-0.073806,-10.192788
-1.472016,-1.338185,-6.590742
-10.506445,-0.375143,7.084417
-3.726757,-6.270498,-5.210768
-7.160769,-2.130944,-11.286776
-2.612254,-1.181145,-10.530240
-6.303491,-4.506255,-7.210357
-12.286890,0.820249,5.995505
-2.143902,-1.065461,-9.298183
-4.862908,-4.413153,-3.259495
-9.641708,-0.260019,6.351221
-6.931306,1.160276,10.369294
-4.105944,-3.533711,-2.959506
-6.818687,-0.584767,9.002565
